id,name,followers,genres,popularity,related_artists_count,related_artists_ids
7frYUe4C7A42uZqCzD34Y4,Sultaan,53636.0,"['desi pop', 'punjabi hip hop', 'punjabi pop']",53,20,58o8gC55d5XSsI2MlTZ3M5;2MUxB7dxsGn3ytMPyyekmj;1AQswtUT2D149M5GgdyYMv;7balJhYEvDHAshA39peuCr;28kGdf2ant8i73Fab2F7xq
72578usTM6Cj5qWsi471Nc,Raghu Dixit,248568.0,"['filmi', 'indian folk', 'indian rock', 'kannada pop']",52,20,0Xbdgzdm7k9BJ5gUgmAkpy;4oVMLzAqW6qhRpZWt8fNw4;3t4P7aXVor3NxlJPZxLzOQ;2L16nDKTxhFGaDriR2AHTB;4iA6bUhiZyvRKJf4FNVX39
7b6Ui7JVaBDEfZB9k6nHL0,The Local Train,701766.0,"['desi pop', 'hindi indie', 'indian indie', 'indian rock', 'new delhi indie', 'sufi']",57,20,04hYGGSjYtLekuuJXEGrIl;6xlrAAgxcRlgCXnbg2hcFc;72beYOeW2sb2yfcS4JsRvb;2L16nDKTxhFGaDriR2AHTB;0tC995Rfn9k2l7nqgCZsV7
4bvGDTEPFnllKiJaEZGuXk,Achint,6395.0,['indian folk'],49,20,2AWF4fUAstzXyJd01JTuS3;3mzZ5nf3QScPqc7y9EzJ6X;6i50rQJbETLRREwFn3plcw;6xlrAAgxcRlgCXnbg2hcFc;2qV4ArHDzLVSdX6GWy5R1z
5wJ1H6ud777odtZl5gG507,Vishal Mishra,211174.0,"['desi pop', 'modern bollywood']",66,20,6RF8hEdlUKoLPQOHmBbHiM;3TOhzLRYnkkul71yRBxIoM;1sVmXkzX2ukc6QvasrDBES;6jf2eKjiPT6P18RbOSLzf0;3bAFvRjPZrpRz9Ox1sElQa
7rVV9d6vc4FLT752uRuk71,Arivu,14660.0,"['desi hip hop', 'tamil pop']",63,20,7ymamM7CBML9JF47Of8qBp;77YvCBWe0tTLygpgSJsdOH;7dDSQfbUWrNvRqpNP92slb;15ClyGUe5g2vllncIC4tp6;7llcZ59fwsSv4nEx3mgu31
4gdMJYnopf2nEUcanAwstx,Anuv Jain,103905.0,"['hindi indie', 'indian indie', 'indian singer-songwriter']",58,20,41Sw7HsskHGbJOJXhLUTEK;4o0mCeiUIVdknPUMhpO0bd;3xZ9z6k4Suc2O8cAiwMt7h;04hYGGSjYtLekuuJXEGrIl;1ciT67XXpG2HOVsLQjKdv6
4RWsSjLE6TMBwdYzHj2NiO,Sergio Galleguillo Y Los Amigos,10424.0,['folklore argentino'],35,20,4gQOceTfcyC3AQHUE2gmVt;6ZyOle5O4r39i22AnY19Mk;0Pq8swkj2A7HrkT0iXOK9X;7Ky9MAWbIE0z5VtPSNiMvd;3XliglxGifK0IJjHPxo5MP
6Hs8U0JO2nacXFG4kp15Co,Chico Trujillo,191599.0,"['chicha', 'chilean rock', 'cumbia chilena', 'latin alternative', 'latin rock', 'nueva cancion']",55,20,4sGC7K2rSpWrWudBgYPMce;3yIbPI61iAhMptDnfnyScb;2UNMW1OKE0X1cwJHWER67g;7EP6QHjz7FSJZBVjDuAmas;0S7gyQcve5aVdbPiUjym4H
3MBsvBr8B6mfjO6txfT6uL,Malon,44818.0,"['argentine heavy metal', 'argentine metal', 'argentine rock', 'latin metal']",39,20,7aFWI1ooewKlAlMparvoab;0R0FEEepfDr3js3lsGPykq;6j6Ld5h0aFgH0VQWQNazS7;13sN20Fe1isPXTYSsL7AX5;4gHjWV2oalYMkHYfBCt3Lr
